category,assumption,layer,source_path,line,scope,expression,impact,proposed_treatment
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen2_7b/hf_adaptor.py,243,from_pretrained,"AutoModelForCausalLM.from_pretrained( hf_model, revision=hf_revision, torch_dtype=torch.bfloat16, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/demo.py,53,_skip_unless_t3k,AutoConfig.from_pretrained(hf_model_id),"Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,122,test_qwen3_32b_prefill_smoke,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,137,test_qwen3_32b_prefill_smoke,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,167,test_qwen3_32b_decode_one_step,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,181,test_qwen3_32b_decode_one_step,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,212,test_qwen3_32b_executor_prefill_smoke,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,224,test_qwen3_32b_executor_prefill_smoke,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/demo.py,241,test_qwen3_32b_teacher_forcing_prefill_vs_hf,AutoConfig.from_pretrained(hf_model_id),"Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,278,test_qwen3_32b_teacher_forcing_prefill_vs_hf,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/demo.py,282,test_qwen3_32b_teacher_forcing_prefill_vs_hf,"AutoModelForCausalLM.from_pretrained(hf_model_id, torch_dtype=torch.bfloat16)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,297,test_qwen3_32b_teacher_forcing_prefill_vs_hf,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,345,test_qwen3_32b_eager_traced_prefill_logits_match,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,359,test_qwen3_32b_eager_traced_prefill_logits_match,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/demo.py,388,test_qwen3_32b_numerical_divergence_vs_hf,AutoConfig.from_pretrained(hf_model_id),"Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/demo.py,404,test_qwen3_32b_numerical_divergence_vs_hf,"AutoModelForCausalLM.from_pretrained(hf_model_id, torch_dtype=torch.bfloat16)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,522,test_qwen3_32b_numerical_divergence_vs_hf,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/demo.py,542,test_qwen3_32b_numerical_divergence_vs_hf,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
filesystem,opens a caller/environment-selected output path,models,models/common/models/qwen3_32b/demo.py,591,test_qwen3_32b_numerical_divergence_vs_hf,"open(out_csv, ""w"", newline="""")",Writes benchmark/qualification output as a runtime side effect.,Keep under examples/qualification and require an explicit output path.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/hf_adaptor.py,150,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, revision=hf_revision, trust_remote_code=True, local_files_only=_local_files_only(), )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/qwen3_32b/hf_adaptor.py,196,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/qwen3_32b/hf_adaptor.py,197,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/hf_adaptor.py,247,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/hf_adaptor.py,248,from_pretrained,"AutoConfig.from_pretrained( hf_model, revision=hf_revision, local_files_only=_local_files_only(), )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen3_32b/model.py,872,Qwen3_32B.from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/model.py,889,Qwen3_32B.from_pretrained,"AutoConfig.from_pretrained(hf_model_id, revision=revision, local_files_only=local_files_only)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen3_32b/model.py,900,Qwen3_32B.from_pretrained,"AutoModelForCausalLM.from_pretrained( hf_model_id, revision=revision, torch_dtype=torch_dtype, local_files_only=local_files_only, )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/attention/attention_1d.py,1668,_attention_mesh_device,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/embedding/embedding_1d.py,223,_resolve_embedding1d_config,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
filesystem,filesystem exists operation,modules,models/common/modules/lazy_weight.py,119,LazyWeight.get_device_weight,cache_file_name.exists(),"Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
cache_io,loads a TTNN tensor cache file,modules,models/common/modules/lazy_weight.py,121,LazyWeight.get_device_weight,"ttnn.load_tensor(str(cache_file_name), device=self.device)",Correctness depends on cache compatibility and readable local storage.,"Version cache keys with package, TTNN, checkpoint revision, conversion schema, architecture, and topology."
cache_io,passes cache_file_name to a TTNN conversion/allocation API,modules,models/common/modules/lazy_weight.py,139,LazyWeight.get_device_weight,"_from_torch_and_dump( tensor=tensor, device=self.device, dtype=self.dtype, layout=self.layout, memory_config=self.memory_config, mesh_mapper=mesh_mapper, is_replicated=is_replicated, pad_value=self.pad_value, cache_file_name=cache_file_name, )",TTNN may perform implicit local cache reads/writes.,Route through the versioned package cache policy and document cache invalidation inputs.
filesystem,filesystem mkdir operation,modules,models/common/modules/lazy_weight.py,339,_from_torch_and_dump,"pathlib.Path(cache_file_name).parent.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
cache_io,writes a cache through a private TTNN API,modules,models/common/modules/lazy_weight.py,340,_from_torch_and_dump,"ttnn._ttnn.tensor.dump_tensor_flatbuffer(str(cache_file_name), tensor)",Packaging depends on a private symbol and local write permission.,Qualify a public 0.77 equivalent or report the missing TTNN capability; do not vendor TTNN internals.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/lm_head/lm_head_1d.py,349,_derive_lm_head_mesh_device,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/mlp/mlp_1d.py,802,_resolve_mlp1d_mesh,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/mlp/mlp_2d.py,683,_resolve_mlp2d_config,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/rmsnorm/rmsnorm_1d.py,467,_derive_rmsnorm_mesh_device,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/rmsnorm/rmsnorm_2d.py,361,_resolve_2d_config,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/rope/rope_1d.py,351,_resolve_rope_config,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/sampling/penalties_1d.py,595,_resolve_penalties1d_config,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
global_device,falls back to TTNN process-global default device,modules,models/common/modules/sampling/sampling_1d.py,742,_resolve_sampling1d_config,ttnn.GetDefaultDevice(),Module construction depends on external process state when config/device fields are absent.,Require or propagate explicit mesh_device while preserving characterized compatibility entry points.
